STN_NAME,STN_NO,X,Y,Latitude,Longitude,COLOR,OPEN_DATE,CLOSE_DATE,geometry
TUAS WEST ROAD MRT STATION,EW32,6442.6401,34689.7988,1.3299890890000001,103.63966620000001,GREEN,2016-06-01,2099-12-01,POINT (103.6396662 1.329989088999999)
UBI MRT STATION,DT27,35337.7709,34685.4833,1.3299568259999999,103.8992348,BLUE,2016-10-01,2099-12-01,POINT (103.8992348 1.329956825999995)
UPPER CHANGI MRT STATION,DT34,42262.0767,35988.4036,1.341737484,103.96143670000001,BLUE,2016-10-01,2099-12-01,POINT (103.9614367 1.341737483999993)
WOODLANDS MRT STATION,NS9,22788.1527,46507.9219,1.436875128,103.78649990000001,RED,1995-02-01,2099-12-01,POINT (103.7864999 1.436875127999988)
WOODLANDS MRT STATION,TE2,22949.0322,46418.5578,1.436066981,103.78794509999999,BROWN,1995-02-01,2099-12-01,POINT (103.7879451 1.436066980999991)
WOODLANDS NORTH MRT STATION,TE1,22634.0348,47760.172999999995,1.4482,103.7851,BROWN,2019-01-01,2099-12-01,POINT (103.7851 1.448200000000007)
WOODLANDS SOUTH MRT STATION,TE3,23607.8309,45444.7113,1.427259979,103.7938631,BROWN,2019-01-01,2099-12-01,POINT (103.7938631 1.427259979)
WOODLEIGH MRT STATION,NE11,32173.3186,35706.3794,1.339190046,103.87080809999999,PURPLE,2010-06-01,2099-12-01,POINT (103.8708081 1.339190045999996)
YEW TEE MRT STATION,NS5,18438.9791,42158.0124,1.3975350180000001,103.74743070000001,RED,1995-02-01,2099-12-01,POINT (103.7474307 1.397535018000005)
YIO CHU KANG MRT STATION,NS15,29294.1283,40413.082,1.381756046,103.8449439,RED,1986-11-01,2099-12-01,POINT (103.8449439 1.381756046)
YISHUN MRT STATION,NS13,28187.6787,45686.0701,1.4294430809999998,103.83500450000001,RED,1987-12-01,2099-12-01,POINT (103.8350045 1.429443080999996)
BAKAU LRT STATION,SE3,36026.0821,41113.8766,1.388092704,103.9054179,LRT,2002-01-01,2099-03-01,POINT (103.9054179 1.388092704000005)
BANGKIT LRT STATION,BP9,21248.246,40220.9693,1.3800178969999999,103.7726667,LRT,1998-11-01,2099-03-01,POINT (103.7726667 1.380017897)
BUKIT PANJANG LRT STATION,BP6,20175.9353,39987.9068,1.3779098980000002,103.76303399999999,LRT,1998-11-01,2099-03-01,POINT (103.763034 1.377909898000003)
CHENG LIM LRT STATION,SW1,34730.4628,42018.8886,1.396277631,103.8937792,LRT,2012-01-01,2099-03-01,POINT (103.8937792 1.396277630999996)
CHOA CHU KANG LRT STATION,BP1,18121.6052,40753.8693,1.38483636,103.7445797,LRT,1998-11-01,2099-03-01,POINT (103.7445797 1.384836360000003)
COMPASSVALE LRT STATION,SE1,35475.5631,41821.5783,1.394493046,103.90047259999999,LRT,2002-01-01,2099-03-01,POINT (103.9004726 1.394493046000003)
CORAL EDGE LRT STATION,PE3,36820.8455,41757.0642,1.393909226,103.9125574,LRT,2004-01-01,2099-03-01,POINT (103.9125574 1.393909226)
COVE LRT STATION,PE1,36084.2293,42351.1334,1.399281985,103.9059403,LRT,2004-01-01,2099-03-01,POINT (103.9059403 1.399281984999988)
DAMAI LRT STATION,PE7,36378.1828,43009.3794,1.405234836,103.9085809,LRT,2010-06-01,2099-03-01,POINT (103.9085809 1.405234836000007)
FAJAR LRT STATION,BP10,21043.4356,40718.8826,1.3845207959999999,103.7708268,LRT,1998-11-01,2099-03-01,POINT (103.7708268 1.384520795999995)
FARMWAY LRT STATION,SW2,34230.5193,42117.5716,1.397170196,103.8892882,LRT,2006-11-01,2099-03-01,POINT (103.8892882 1.39717019599999)
